,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
1987-10-01,-0.18170000000000003,-0.32049999999999995,-0.187,-0.3151,-0.252,-0.2791,-0.1907,-0.2925,-0.306,-0.2848,-0.2693,-0.2646,-0.2921,-0.0693,-0.2774,-0.2127,-0.2275
1987-11-01,-0.07690000000000001,0.0584,-0.1107,-0.1036,-0.11,-0.0546,-0.09480000000000001,-0.048499999999999995,0.025699999999999997,-0.0647,-0.0823,-0.06480000000000001,-0.0782,-0.0255,-0.0953,-0.07139999999999999,-0.0725
1987-12-01,0.07769999999999999,0.0602,0.061500000000000006,0.08990000000000001,0.0862,0.1491,0.056799999999999996,0.08380000000000001,0.10529999999999999,0.0758,0.1182,0.08869999999999999,0.0711,0.005600000000000001,0.07769999999999999,0.0362,0.08810000000000001
1988-01-01,0.030299999999999997,-0.07690000000000001,0.0897,0.0642,-0.0076,-0.0265,0.0554,0.0377,-0.034,0.0571,-0.019299999999999998,0.0728,0.0805,0.0977,0.06559999999999999,0.0892,0.0327
1988-02-01,0.046799999999999994,0.07719999999999999,0.030299999999999997,0.14730000000000001,0.0438,0.0842,0.0382,0.11630000000000001,0.0965,0.08380000000000001,0.0785,0.07780000000000001,0.0676,-0.0141,0.1085,0.0305,0.055999999999999994
1988-03-01,-0.0025,0.0867,0.020499999999999997,0.0222,-0.055,-0.019799999999999998,-0.0385,0.009899999999999999,-0.035699999999999996,0.0109,-0.0378,-0.0046,0.0173,-0.0318,-0.0166,-0.0271,-0.0184
1988-04-01,0.0011,0.0155,0.0451,-0.0022,0.0105,0.018000000000000002,-0.0147,0.0231,0.0564,-0.0048,0.0291,0.035,-0.0038,-0.003,0.019,-0.006,0.0040999999999999995
1988-05-01,-0.0011,0.0049,-0.0045000000000000005,-0.0125,0.0177,-0.0218,-0.0067,-0.0116,-0.0055000000000000005,-0.005600000000000001,-0.011399999999999999,0.0062,-0.0003,0.0362,-0.013500000000000002,0.019799999999999998,0.0017000000000000001
1988-06-01,0.022000000000000002,0.0171,-0.0182,0.0643,0.0677,0.09820000000000001,0.0187,0.09029999999999999,0.064,0.0687,0.0876,0.0788,0.084,0.0323,0.062400000000000004,0.0556,0.06
1988-07-01,0.0109,-0.013500000000000002,0.0355,-0.0463,0.0179,-0.0397,0.0173,-0.0265,0.013600000000000001,-0.0079,-0.0455,-0.0070999999999999995,-0.015600000000000001,-0.0022,-0.0040999999999999995,0.0024,-0.0126
1988-08-01,0.011000000000000001,-0.0455,-0.0147,-0.0132,-0.0405,-0.0429,-0.009300000000000001,-0.0371,-0.050300000000000004,-0.0092,-0.0759,-0.0668,-0.0318,-0.0012,-0.0208,-0.0001,-0.032799999999999996
1988-09-01,0.0652,-0.0241,-0.0229,0.0225,0.0365,0.0215,0.048799999999999996,0.0048,0.006999999999999999,0.0364,0.0318,0.0407,0.0639,0.026699999999999998,0.09300000000000001,0.038900000000000004,0.056100000000000004
1988-10-01,0.12619999999999998,-0.0032,0.0184,0.0319,0.0222,0.0121,0.0143,0.0036,0.044000000000000004,0.0013,0.0007000000000000001,0.0495,0.0154,0.025099999999999997,0.0174,-0.0021,0.0083
1988-11-01,-0.0046,0.0076,-0.0031,-0.068,-0.047400000000000005,-0.0206,-0.0104,-0.0335,-0.0209,-0.0038,-0.0202,-0.0003,-0.0146,-0.005,-0.0248,-0.026099999999999998,-0.0195
1988-12-01,0.0226,-0.016200000000000003,0.0177,0.056799999999999996,0.03,0.048,0.0292,0.0391,0.042300000000000004,0.031400000000000004,0.0371,-0.0064,0.0131,0.0104,0.0115,-0.0016,0.027200000000000002
1989-01-01,0.046900000000000004,0.0253,0.063,0.0668,0.059699999999999996,0.1057,0.0644,0.062,0.1183,0.0356,0.0662,0.0901,0.0784,0.026699999999999998,0.0629,0.0675,0.0738
1989-02-01,-0.013300000000000001,0.0593,-0.0134,0.0373,0.0086,-0.022400000000000003,-0.0161,0.0073,-0.0356,-0.0026,-0.039,-0.04769999999999999,-0.003,-0.0178,-0.0179,-0.004,-0.0182
1989-03-01,0.052199999999999996,-0.024300000000000002,0.0378,0.0672,0.0032,0.025,0.0565,0.0161,-0.0189,0.0291,-0.0387,-0.0253,0.0095,0.0055000000000000005,0.0297,0.0481,0.0338
1989-04-01,0.0558,-0.0172,0.0232,0.0406,0.055099999999999996,0.051,0.0525,0.057999999999999996,0.0339,0.0435,0.053099999999999994,-0.0033,0.047400000000000005,0.0397,0.056299999999999996,0.0385,0.0787
1989-05-01,0.0512,-0.0433,0.0278,0.042,0.0029,0.0068000000000000005,0.044199999999999996,0.0326,0.0116,0.031,0.044199999999999996,0.0137,0.0288,0.0528,0.057300000000000004,0.0407,0.0521
1989-06-01,0.0089,0.0424,-0.010700000000000001,-0.0126,0.0167,-0.028300000000000002,-0.0165,-0.0095,-0.0385,-0.009300000000000001,-0.0326,0.0027,-0.0265,0.0342,-0.0227,0.009300000000000001,-0.0021
1989-07-01,0.134,-0.0062,0.0388,0.08449999999999999,0.0697,0.069,0.13720000000000002,0.08689999999999999,0.0663,0.0672,0.0565,0.0441,0.0733,0.0581,0.1001,0.081,0.0803
1989-08-01,-0.04190000000000001,0.071,0.034300000000000004,0.0446,0.0007000000000000001,0.075,0.0125,0.030299999999999997,0.0797,0.0512,0.020499999999999997,0.0779,0.0799,-0.008,0.026699999999999998,0.0199,0.0169
1989-09-01,-0.0027,0.031200000000000002,0.0127,0.015,-0.0285,-0.0346,0.013000000000000001,-0.0165,-0.0242,-0.043899999999999995,-0.032,-0.0582,-0.0258,0.0048,-0.0248,0.0209,0.0176
1989-10-01,-0.0134,-0.004699999999999999,0.0067,-0.055999999999999994,-0.0547,-0.0583,0.0138,-0.07490000000000001,-0.09210000000000002,-0.0567,-0.0452,-0.062400000000000004,-0.0741,0.0101,-0.037599999999999995,-0.0409,-0.0318
1989-11-01,0.0346,0.10679999999999999,0.0384,-0.0084,-0.0001,0.0253,0.0333,0.030299999999999997,0.023399999999999997,0.0085,0.0179,-0.0223,-0.018600000000000002,0.032400000000000005,0.0127,-0.005,0.0152
1989-12-01,0.0259,0.0199,0.059699999999999996,-0.011200000000000002,0.0009,0.0444,0.0111,0.0027,0.0059,0.0255,0.0063,-0.0169,0.0233,0.048,0.0078000000000000005,-0.0252,0.0313
1990-01-01,-0.095,0.0398,-0.0434,-0.0966,-0.0602,-0.0767,-0.0712,-0.053899999999999997,-0.08779999999999999,-0.0444,-0.0215,-0.0322,-0.062400000000000004,-0.0535,-0.0605,-0.0962,-0.10859999999999999
1990-02-01,-0.0049,0.0011,0.031400000000000004,0.019799999999999998,0.0051,0.027000000000000003,-0.0226,0.0374,0.0332,0.0354,0.0361,0.060700000000000004,0.0418,0.0021,0.0168,0.022799999999999997,0.0102
1990-03-01,0.0545,-0.044800000000000006,-0.0067,0.0572,0.042199999999999994,0.0109,0.0444,0.0504,0.0629,0.0489,0.04019999999999999,0.032799999999999996,0.049800000000000004,-0.0075,0.051399999999999994,-0.0161,0.036000000000000004
1990-04-01,0.0045000000000000005,-0.0864,-0.0352,-0.0163,-0.059000000000000004,-0.0373,0.0176,-0.022799999999999997,-0.0702,0.0017000000000000001,-0.013999999999999999,-0.0395,-0.041299999999999996,-0.0552,-0.0222,-0.04190000000000001,-0.027000000000000003
1990-05-01,0.1155,0.0782,0.062,0.0652,0.06570000000000001,0.07150000000000001,0.1041,0.11460000000000001,0.0738,0.0794,0.0993,0.0824,0.0756,0.054299999999999994,0.1158,0.09269999999999999,0.09960000000000001
